show_id,type,title,rating
"s1","Movie","Dick Johnson Is Dead","PG-13"
"s2","TV Show","Blood & Water","TV-MA"
"s3","TV Show","Ganglands","TV-MA"
"s4","TV Show","Jailbirds New Orleans","TV-MA"
"s5","TV Show","Kota Factory","TV-MA"
"s6","TV Show","Midnight Mass","TV-MA"
"s7","Movie","My Little Pony: A New Generation","PG"
"s8","Movie","Sankofa","TV-MA"
"s9","TV Show","The Great British Baking Show","TV-14"
"s10","Movie","The Starling","PG-13"
"s11","TV Show","Vendetta: Truth, Lies and The Mafia","TV-MA"
"s12","TV Show","Bangkok Breaking","TV-MA"
"s13","Movie","Je Suis Karl","TV-MA"
"s14","Movie","Confessions of an Invisible Girl","TV-PG"
"s15","TV Show","Crime Stories: India Detectives","TV-MA"
"s16","TV Show","Dear White People","TV-MA"
"s17","Movie","Europe's Most Dangerous Man: Otto Skorzeny in Spain","TV-MA"
"s18","TV Show","Falsa identidad","TV-MA"
"s19","Movie","Intrusion","TV-14"
"s20","TV Show","Jaguar","TV-MA"
"s21","TV Show","Monsters Inside: The 24 Faces of Billy Milligan","TV-14"
"s22","TV Show","Resurrection: Ertugrul","TV-14"
"s23","Movie","Avvai Shanmughi","TV-PG"
"s24","Movie","Go! Go! Cory Carson: Chrissy Takes the Wheel","TV-Y"
"s25","Movie","Jeans","TV-14"
"s26","TV Show","Love on the Spectrum","TV-14"
"s27","Movie","Minsara Kanavu","TV-PG"
"s28","Movie","Grown Ups","PG-13"
"s29","Movie","Dark Skies","PG-13"
"s30","Movie","Paranoia","PG-13"
"s31","Movie","Ankahi Kahaniya","TV-14"
"s32","TV Show","Chicago Party Aunt","TV-MA"
"s33","TV Show","Sex Education","TV-MA"
"s34","TV Show","Squid Game","TV-MA"
"s35","TV Show","Tayo and Little Wizards","TV-Y7"
"s36","Movie","The Father Who Moves Mountains","TV-MA"
"s37","Movie","The Stronghold","TV-MA"
"s38","TV Show","Angry Birds","TV-Y7"
"s39","Movie","Birth of the Dragon","PG-13"
"s40","TV Show","Chhota Bheem","TV-Y7"
"s41","TV Show","He-Man and the Masters of the Universe","TV-Y7"
