show_id,release_year,date_added
"s1","2020","September 25, 2021"
"s2","2021","September 24, 2021"
"s3","2021","September 24, 2021"
"s4","2021","September 24, 2021"
"s5","2021","September 24, 2021"
"s6","2021","September 24, 2021"
"s7","2021","September 24, 2021"
"s8","1993","September 24, 2021"
"s9","2021","September 24, 2021"
"s10","2021","September 24, 2021"
"s11","2021","September 24, 2021"
"s12","2021","September 23, 2021"
"s13","2021","September 23, 2021"
"s14","2021","September 22, 2021"
"s15","2021","September 22, 2021"
"s16","2021","September 22, 2021"
"s17","2020","September 22, 2021"
"s18","2020","September 22, 2021"
"s19","2021","September 22, 2021"
"s20","2021","September 22, 2021"
"s21","2021","September 22, 2021"
"s22","2018","September 22, 2021"
"s23","1996","September 21, 2021"
"s24","2021","September 21, 2021"
"s25","1998","September 21, 2021"
"s26","2021","September 21, 2021"
"s27","1997","September 21, 2021"
"s28","2010","September 20, 2021"
"s29","2013","September 19, 2021"
"s30","2013","September 19, 2021"
"s31","2021","September 17, 2021"
"s32","2021","September 17, 2021"
"s33","2020","September 17, 2021"
"s34","2021","September 17, 2021"
"s35","2020","September 17, 2021"
"s36","2021","September 17, 2021"
"s37","2021","September 17, 2021"
"s38","2018","September 16, 2021"
"s39","2017","September 16, 2021"
"s40","2021","September 16, 2021"
"s41","2021","September 16, 2021"
"s42","1975","September 16, 2021"
"s43","1978","September 16, 2021"
"s44","1983","September 16, 2021"
"s45","1987","September 16, 2021"
"s46","2021","September 16, 2021"
"s47","2012","September 16, 2021"
"s48","2020","September 16, 2021"
"s49","2001","September 16, 2021"
"s50","2021","September 15, 2021"
"s51","2014","September 15, 2021"
"s52","2002","September 15, 2021"
"s53","2003","September 15, 2021"
"s54","2004","September 15, 2021"
"s55","2001","September 15, 2021"
"s56","2021","September 15, 2021"
"s57","2011","September 15, 2021"
"s58","2008","September 15, 2021"
"s59","2009","September 15, 2021"
"s60","2007","September 15, 2021"
"s61","2010","September 15, 2021"
"s62","2005","September 15, 2021"
"s63","2006","September 15, 2021"
"s64","2004","September 15, 2021"
"s65","2021","September 15, 2021"
"s66","2021","September 15, 2021"
"s67","2014","September 15, 2021"
"s68","1994","September 15, 2021"
"s69","2021","September 15, 2021"
"s70","2015","September 15, 2021"
"s71","2021","September 15, 2021"
"s72","2021","September 14, 2021"
"s73","2021","September 14, 2021"
"s74","2018","September 14, 2021"
"s75","2021","September 14, 2021"
"s76","2021","September 14, 2021"
"s77","2013","September 14, 2021"
"s78","2021","September 11, 2021"
"s79","2020","September 11, 2021"
"s80","2021","September 11, 2021"
"s81","2021","September 10, 2021"
"s82","2021","September 10, 2021"
"s83","2021","September 10, 2021"
"s84","2021","September 10, 2021"
"s85","2020","September 10, 2021"
"s86","2021","September 10, 2021"
"s87","2021","September 10, 2021"
"s88","2019","September 10, 2021"
"s89","2021","September 9, 2021"
"s90","2017","September 9, 2021"
"s91","2019","September 9, 2021"
"s92","2021","September 9, 2021"
"s93","2021","September 8, 2021"
"s94","2021","September 8, 2021"
"s95","2018","September 8, 2021"
"s96","2021","September 8, 2021"
"s97","2018","September 7, 2021"
"s98","2021","September 7, 2021"
"s99","2021","September 7, 2021"
"s100","2021","September 7, 2021"
"s101","2019","September 7, 2021"
"s102","2021","September 7, 2021"
"s103","2021","September 6, 2021"
"s104","2020","September 6, 2021"
"s105","2016","September 6, 2021"
"s106","2017","September 5, 2021"
"s107","2021","September 5, 2021"
"s108","2018","September 4, 2021"
"s109","2021","September 3, 2021"
"s110","2021","September 3, 2021"
"s111","2021","September 3, 2021"
"s112","2021","September 3, 2021"
"s113","2021","September 3, 2021"
"s114","2021","September 2, 2021"
"s115","1994","September 2, 2021"
"s116","2009","September 2, 2021"
"s117","2015","September 2, 2021"
"s118","2021","September 2, 2021"
"s119","2017","September 2, 2021"
"s120","2020","September 2, 2021"
"s121","2021","September 2, 2021"
"s122","2019","September 2, 2021"
"s123","2003","September 2, 2021"
"s124","2012","September 2, 2021"
"s125","2013","September 2, 2021"
"s126","2021","September 2, 2021"
"s127","2020","September 2, 2021"
"s128","2004","September 1, 2021"
"s129","2017","September 1, 2021"
"s130","2005","September 1, 2021"
"s131","2021","September 1, 2021"
"s132","1982","September 1, 2021"
"s133","2021","September 1, 2021"
"s134","2015","September 1, 2021"
"s135","1994","September 1, 2021"
"s136","1993","September 1, 2021"
"s137","2003","September 1, 2021"
"s138","2001","September 1, 2021"
"s139","2010","September 1, 2021"
"s140","1989","September 1, 2021"
"s141","2014","September 1, 2021"
"s142","2015","September 1, 2021"
"s143","2007","September 1, 2021"
"s144","2011","September 1, 2021"
"s145","1990","September 1, 2021"
"s146","1991","September 1, 2021"
"s147","1994","September 1, 2021"
"s148","2021","September 1, 2021"
"s149","2020","September 1, 2021"
"s150","1998","September 1, 2021"
"s151","1999","September 1, 2021"
"s152","2005","September 1, 2021"
"s153","2016","September 1, 2021"
"s154","2016","September 1, 2021"
"s155","2015","September 1, 2021"
"s156","1986","September 1, 2021"
"s157","2010","September 1, 2021"
"s158","2018","September 1, 2021"
"s159","2003","September 1, 2021"
"s160","2010","September 1, 2021"
"s161","1992","September 1, 2021"
"s162","1996","September 1, 2021"
"s163","2017","September 1, 2021"
"s164","2003","September 1, 2021"
"s165","1999","September 1, 2021"
"s166","2019","September 1, 2021"
"s167","1984","September 1, 2021"
"s168","2008","September 1, 2021"
"s169","2001","September 1, 2021"
"s170","2006","September 1, 2021"
"s171","1997","September 1, 2021"
"s172","2017","September 1, 2021"
"s173","2003","September 1, 2021"
"s174","2015","September 1, 2021"
"s175","2003","September 1, 2021"
"s176","1980","September 1, 2021"
"s177","1986","September 1, 2021"
"s178","1961","September 1, 2021"
"s179","2014","September 1, 2021"
"s180","1996","September 1, 2021"
"s181","2000","September 1, 2021"
"s182","2021","September 1, 2021"
"s183","2008","September 1, 2021"
"s184","1993","August 31, 2021"
"s185","2021","August 31, 2021"
"s186","2021","August 31, 2021"
"s187","2021","August 29, 2021"
"s188","2021","August 29, 2021"
"s189","2008","August 28, 2021"
"s190","2020","August 28, 2021"
"s191","2021","August 28, 2021"
"s192","2017","August 28, 2021"
"s193","2008","August 27, 2021"
"s194","2021","August 27, 2021"
"s195","2002","August 27, 2021"
"s196","2008","August 27, 2021"
"s197","2021","August 27, 2021"
"s198","2021","August 27, 2021"
"s199","2021","August 27, 2021"
"s200","2006","August 27, 2021"
"s201","2004","August 27, 2021"
"s202","2003","August 27, 2021"
"s203","2005","August 27, 2021"
"s204","2016","August 27, 2021"
"s205","2012","August 27, 2021"
"s206","2001","August 27, 2021"
"s207","2010","August 27, 2021"
"s208","2008","August 27, 2021"
"s209","2010","August 27, 2021"
"s210","2013","August 27, 2021"
"s211","2011","August 27, 2021"
"s212","2014","August 27, 2021"
"s213","2016","August 27, 2021"
"s214","2021","August 27, 2021"
"s215","2021","August 27, 2021"
"s216","2007","August 27, 2021"
"s217","2011","August 27, 2021"
"s218","2011","August 27, 2021"
"s219","2021","August 27, 2021"
"s220","2021","August 26, 2021"
"s221","2021","August 26, 2021"
"s222","2021","August 25, 2021"
"s223","2021","August 25, 2021"
"s224","2021","August 25, 2021"
"s225","2021","August 25, 2021"
"s226","2021","August 25, 2021"
"s227","2021","August 25, 2021"
"s228","2020","August 25, 2021"
"s229","2014","August 25, 2021"
"s230","2020","August 25, 2021"
"s231","2021","August 25, 2021"
"s232","2021","August 25, 2021"
"s233","2019","August 25, 2021"
"s234","2021","August 24, 2021"
"s235","2021","August 24, 2021"
"s236","2021","August 24, 2021"
"s237","2021","August 23, 2021"
"s238","2021","August 23, 2021"
"s239","2021","August 23, 2021"
"s240","2021","August 23, 2021"
"s241","2021","August 23, 2021"
"s242","2021","August 21, 2021"
"s243","2021","August 20, 2021"
"s244","2021","August 20, 2021"
"s245","2018","August 20, 2021"
"s246","2021","August 20, 2021"
"s247","2021","August 20, 2021"
"s248","2021","August 20, 2021"
"s249","2021","August 20, 2021"
"s250","2021","August 20, 2021"
"s251","2020","August 19, 2021"
"s252","2011","August 19, 2021"
"s253","2021","August 18, 2021"
"s254","1995","August 18, 2021"
"s255","2021","August 18, 2021"
"s256","2021","August 18, 2021"
"s257","2020","August 18, 2021"
"s258","2015","August 18, 2021"
"s259","2020","August 18, 2021"
"s260","2018","August 18, 2021"
"s261","2020","August 18, 2021"
"s262","2021","August 18, 2021"
"s263","2021","August 18, 2021"
"s264","2016","August 16, 2021"
"s265","2014","August 16, 2021"
"s266","2018","August 15, 2021"
"s267","2020","August 15, 2021"
"s268","1993","August 15, 2021"
"s269","2020","August 15, 2021"
"s270","2015","August 15, 2021"
"s271","2021","August 13, 2021"
"s272","2021","August 13, 2021"
"s273","2021","August 13, 2021"
"s274","2021","August 13, 2021"
"s275","2021","August 13, 2021"
"s276","2021","August 13, 2021"
"s277","2021","August 13, 2021"
"s278","2021","August 12, 2021"
"s279","2021","August 12, 2021"
"s280","2021","August 12, 2021"
"s281","2021","August 11, 2021"
"s282","2016","August 11, 2021"
"s283","2020","August 11, 2021"
"s284","2021","August 11, 2021"
"s285","2021","August 11, 2021"
"s286","2013","August 11, 2021"
"s287","2021","August 10, 2021"
"s288","2021","August 10, 2021"
"s289","2018","August 10, 2021"
"s290","2019","August 10, 2021"
"s291","2021","August 10, 2021"
"s292","2021","August 9, 2021"
"s293","2012","August 8, 2021"
"s294","2021","August 8, 2021"
"s295","2020","August 7, 2021"
"s296","2021","August 7, 2021"
"s297","2021","August 6, 2021"
"s298","2021","August 6, 2021"
"s299","2020","August 6, 2021"
"s300","2021","August 6, 2021"
"s301","2021","August 6, 2021"
"s302","2013","August 5, 2021"
"s303","2013","August 5, 2021"
"s304","1985","August 5, 2021"
"s305","2021","August 5, 2021"
"s306","1993","August 5, 2021"
"s307","2016","August 4, 2021"
"s308","2021","August 4, 2021"
"s309","2012","August 4, 2021"
"s310","2021","August 4, 2021"
"s311","2021","August 4, 2021"
"s312","2021","August 4, 2021"
"s313","2021","August 4, 2021"
"s314","2009","August 3, 2021"
"s315","1995","August 3, 2021"
"s316","2010","August 3, 2021"
"s317","2011","August 3, 2021"
"s318","2021","August 3, 2021"
"s319","2021","August 3, 2021"
"s320","2005","August 3, 2021"
"s321","2021","August 3, 2021"
"s322","2013","August 3, 2021"
"s323","2008","August 3, 2021"
"s324","2012","August 1, 2021"
"s325","2020","August 1, 2021"
"s326","1992","August 1, 2021"
"s327","1993","August 1, 2021"
"s328","2007","August 1, 2021"
"s329","2016","August 1, 2021"
"s330","2002","August 1, 2021"
"s331","2009","August 1, 2021"
"s332","2020","August 1, 2021"
"s333","1999","August 1, 2021"
"s334","1986","August 1, 2021"
"s335","2019","August 1, 2021"
"s336","2006","August 1, 2021"
"s337","2010","August 1, 2021"
"s338","2007","August 1, 2021"
"s339","2014","August 1, 2021"
"s340","2021","August 1, 2021"
"s341","2010","August 1, 2021"
"s342","1999","August 1, 2021"
"s343","1995","August 1, 2021"
"s344","1991","August 1, 2021"
"s345","1994","August 1, 2021"
"s346","2015","August 1, 2021"
"s347","2008","August 1, 2021"
"s348","2009","August 1, 2021"
"s349","2019","August 1, 2021"
"s350","2003","August 1, 2021"
"s351","2000","August 1, 2021"
"s352","2004","August 1, 2021"
"s353","2016","August 1, 2021"
"s354","2013","August 1, 2021"
"s355","1991","August 1, 2021"
"s356","2011","August 1, 2021"
"s357","2010","August 1, 2021"
"s358","2004","August 1, 2021"
"s359","1995","August 1, 2021"
"s360","2000","August 1, 2021"
"s361","2010","August 1, 2021"
"s362","2021","July 31, 2021"
"s363","2018","July 31, 2021"
"s364","2021","July 31, 2021"
"s365","2021","July 30, 2021"
"s366","2014","July 30, 2021"
"s367","2021","July 30, 2021"
"s368","2020","July 30, 2021"
"s369","2009","July 30, 2021"
"s370","2021","July 30, 2021"
"s371","2021","July 30, 2021"
"s372","2009","July 30, 2021"
"s373","2021","July 30, 2021"
"s374","2021","July 30, 2021"
"s375","2013","July 29, 2021"
"s376","2021","July 29, 2021"
"s377","2021","July 29, 2021"
"s378","2021","July 28, 2021"
"s379","2019","July 28, 2021"
"s380","2021","July 28, 2021"
"s381","2021","July 28, 2021"
"s382","2021","July 28, 2021"
"s383","2021","July 27, 2021"
"s384","2012","July 27, 2021"
"s385","2021","July 27, 2021"
"s386","2021","July 27, 2021"
"s387","2021","July 27, 2021"
"s388","2021","July 27, 2021"
"s389","2021","July 27, 2021"
"s390","2019","July 27, 2021"
"s391","2019","July 26, 2021"
"s392","2020","July 26, 2021"
"s393","2012","July 24, 2021"
"s394","2021","July 23, 2021"
"s395","2021","July 23, 2021"
"s396","2021","July 23, 2021"
"s397","2021","July 23, 2021"
"s398","2021","July 23, 2021"
"s399","2021","July 23, 2021"
"s400","2021","July 23, 2021"
"s401","2021","July 23, 2021"
"s402","2021","July 23, 2021"
"s403","2021","July 23, 2021"
"s404","2021","July 23, 2021"
"s405","2021","July 22, 2021"
"s406","2015","July 22, 2021"
"s407","2013","July 22, 2021"
"s408","2009","July 22, 2021"
"s409","2011","July 22, 2021"
"s410","2010","July 22, 2021"
"s411","2013","July 22, 2021"
"s412","2013","July 22, 2021"
"s413","2013","July 22, 2021"
"s414","2013","July 22, 2021"
"s415","2012","July 22, 2021"
"s416","2009","July 22, 2021"
"s417","2013","July 22, 2021"
"s418","2015","July 22, 2021"
"s419","2019","July 22, 2021"
"s420","2010","July 22, 2021"
"s421","2012","July 22, 2021"
"s422","2014","July 22, 2021"
"s423","2011","July 22, 2021"
"s424","2011","July 22, 2021"
"s425","2012","July 22, 2021"
"s426","2019","July 22, 2021"
"s427","2021","July 22, 2021"
"s428","2019","July 22, 2021"
"s429","2021","July 22, 2021"
"s430","2020","July 21, 2021"
"s431","2021","July 21, 2021"
"s432","2021","July 21, 2021"
"s433","2021","July 21, 2021"
"s434","2020","July 20, 2021"
"s435","2020","July 20, 2021"
"s436","2019","July 20, 2021"
"s437","2021","July 19, 2021"
"s438","2021","July 17, 2021"
"s439","2020","July 16, 2021"
"s440","2021","July 16, 2021"
"s441","2021","July 16, 2021"
"s442","2021","July 16, 2021"
"s443","2021","July 16, 2021"
"s444","1999","July 16, 2021"
"s445","2021","July 16, 2021"
"s446","2017","July 16, 2021"
"s447","2017","July 16, 2021"
"s448","2011","July 16, 2021"
"s449","2012","July 16, 2021"
"s450","2010","July 16, 2021"
"s451","2009","July 16, 2021"
"s452","2008","July 16, 2021"
"s453","2021","July 15, 2021"
"s454","2021","July 15, 2021"
"s455","1983","July 15, 2021"
"s456","2021","July 15, 2021"
"s457","2019","July 15, 2021"
"s458","2021","July 15, 2021"
"s459","2021","July 15, 2021"
"s460","2021","July 15, 2021"
"s461","2007","July 15, 2021"
"s462","2019","July 15, 2021"
"s463","2019","July 15, 2021"
"s464","2021","July 14, 2021"
"s465","2021","July 14, 2021"
"s466","2021","July 14, 2021"
"s467","2021","July 14, 2021"
"s468","2021","July 14, 2021"
"s469","2021","July 14, 2021"
"s470","2019","July 13, 2021"
"s471","2021","July 13, 2021"
"s472","2021","July 13, 2021"
"s473","2021","July 13, 2021"
"s474","2020","July 12, 2021"
"s475","2015","July 10, 2021"
"s476","2019","July 10, 2021"
"s477","2016","July 10, 2021"
"s478","2021","July 9, 2021"
"s479","2021","July 9, 2021"
"s480","2021","July 9, 2021"
"s481","2020","July 9, 2021"
"s482","2021","July 9, 2021"
"s483","2021","July 9, 2021"
"s484","2021","July 9, 2021"
"s485","2021","July 9, 2021"
"s486","2021","July 9, 2021"
"s487","2016","July 9, 2021"
"s488","2021","July 9, 2021"
"s489","2021","July 9, 2021"
"s490","2017","July 8, 2021"
"s491","2021","July 8, 2021"
"s492","2017","July 8, 2021"
"s493","2018","July 8, 2021"
"s494","2021","July 8, 2021"
"s495","2015","July 8, 2021"
"s496","2019","July 7, 2021"
"s497","2014","July 7, 2021"
"s498","2021","July 7, 2021"
"s499","2020","July 7, 2021"
"s500","2021","July 7, 2021"
"s501","2021","July 7, 2021"
"s502","2020","July 7, 2021"
"s503","2010","July 7, 2021"
"s504","2021","July 7, 2021"
"s505","2021","July 7, 2021"
"s506","2020","July 7, 2021"
"s507","2021","July 7, 2021"
"s508","2019","July 7, 2021"
"s509","2019","July 6, 2021"
"s510","2019","July 6, 2021"
"s511","2016","July 6, 2021"
"s512","2017","July 6, 2021"
"s513","2007","July 6, 2021"
"s514","2018","July 6, 2021"
"s515","2019","July 6, 2021"
"s516","2019","July 6, 2021"
"s517","2021","July 6, 2021"
"s518","2017","July 6, 2021"
"s519","2020","July 6, 2021"
"s520","2020","July 6, 2021"
"s521","2021","July 6, 2021"
"s522","2021","July 6, 2021"
"s523","2015","July 6, 2021"
"s524","2019","July 6, 2021"
"s525","2019","July 6, 2021"
"s526","2018","July 6, 2021"
"s527","2019","July 6, 2021"
"s528","2016","July 6, 2021"
"s529","2012","July 6, 2021"
"s530","1976","July 6, 2021"
"s531","2015","July 6, 2021"
"s532","2018","July 6, 2021"
"s533","2019","July 6, 2021"
"s534","2021","July 6, 2021"
"s535","2019","July 6, 2021"
"s536","2015","July 6, 2021"
"s537","2018","July 6, 2021"
"s538","2018","July 6, 2021"
"s539","2021","July 6, 2021"
"s540","2020","July 6, 2021"
"s541","2020","July 6, 2021"
"s542","2018","July 6, 2021"
"s543","1959","July 6, 2021"
"s544","2020","July 6, 2021"
"s545","2021","July 6, 2021"
"s546","2020","July 6, 2021"
"s547","2021","July 6, 2021"
"s548","2021","July 4, 2021"
"s549","2020","July 3, 2021"
"s550","2020","July 2, 2021"
"s551","2021","July 2, 2021"
"s552","2021","July 2, 2021"
"s553","2020","July 2, 2021"
"s554","2019","July 2, 2021"
"s555","2020","July 2, 2021"
"s556","2013","July 2, 2021"
"s557","2021","July 2, 2021"
"s558","2018","July 2, 2021"
"s559","2012","July 1, 2021"
"s560","1997","July 1, 2021"
"s561","2021","July 1, 2021"
"s562","2002","July 1, 2021"
"s563","1997","July 1, 2021"
"s564","1999","July 1, 2021"
"s565","1997","July 1, 2021"
"s566","2020","July 1, 2021"
"s567","2000","July 1, 2021"
"s568","1995","July 1, 2021"
"s569","1993","July 1, 2021"
"s570","2019","July 1, 2021"
"s571","2021","July 1, 2021"
"s572","2021","July 1, 2021"
"s573","2019","July 1, 2021"
"s574","2008","July 1, 2021"
"s575","2011","July 1, 2021"
"s576","2010","July 1, 2021"
"s577","2019","July 1, 2021"
"s578","2021","July 1, 2021"
"s579","2005","July 1, 2021"
"s580","1988","July 1, 2021"
"s581","2021","July 1, 2021"
"s582","1995","July 1, 2021"
"s583","2016","July 1, 2021"
"s584","2011","July 1, 2021"
"s585","2001","July 1, 2021"
"s586","2018","July 1, 2021"
"s587","1992","July 1, 2021"
"s588","2020","July 1, 2021"
"s589","2018","July 1, 2021"
"s590","2019","July 1, 2021"
"s591","2016","July 1, 2021"
"s592","2008","July 1, 2021"
"s593","2010","July 1, 2021"
"s594","2000","July 1, 2021"
"s595","2009","July 1, 2021"
"s596","1999","July 1, 2021"
"s597","2019","July 1, 2021"
"s598","2006","July 1, 2021"
"s599","2010","July 1, 2021"
"s600","2019","July 1, 2021"
"s601","1997","July 1, 2021"
"s602","1984","July 1, 2021"
"s603","1986","July 1, 2021"
"s604","1989","July 1, 2021"
"s605","2003","July 1, 2021"
"s606","1980","July 1, 2021"
"s607","2006","July 1, 2021"
"s608","2008","July 1, 2021"
"s609","2002","July 1, 2021"
"s610","2010","July 1, 2021"
"s611","2003","July 1, 2021"
"s612","2012","July 1, 2021"
"s613","2009","July 1, 2021"
"s614","2020","July 1, 2021"
"s615","1998","July 1, 2021"
"s616","1998","July 1, 2021"
"s617","2019","July 1, 2021"
"s618","2021","July 1, 2021"
"s619","2021","June 30, 2021"
"s620","2020","June 30, 2021"
"s621","2019","June 30, 2021"
"s622","2020","June 30, 2021"
"s623","2019","June 30, 2021"
"s624","2021","June 30, 2021"
