show_id,person_name,role_type
"s1","Kirsten Johnson","Director"
"s2","Ama Qamata","Actor"
"s2","Khosi Ngema","Actor"
"s2","Gail Mabalane","Actor"
"s2","Thabang Molaba","Actor"
"s3","Sami Bouajila","Actor"
"s3","Tracy Gotoas","Actor"
"s3","Samuel Jouy","Actor"
"s3","Nabiha Akkari","Actor"
"s3","Julien Leclercq","Director"
"s5","Mayur More","Actor"
"s5","Jitendra Kumar","Actor"
"s5","Ranjan Raj","Actor"
"s5","Alam Khan","Actor"
"s6","Kate Siegel","Actor"
"s6","Zach Gilford","Actor"
"s6","Hamish Linklater","Actor"
"s6","Henry Thomas","Actor"
"s6","Mike Flanagan","Director"
"s7","Vanessa Hudgens","Actor"
"s7","Kimiko Glenn","Actor"
"s7","James Marsden","Actor"
"s7","Sofia Carson","Actor"
"s7","Robert Cullen","Director"
"s7","José Luis Ucha","Director"
"s8","Kofi Ghanaba","Actor"
"s8","Oyafunmike Ogunlano","Actor"
"s8","Alexandra Duah","Actor"
"s8","Nick Medley","Actor"
"s8","Haile Gerima","Director"
"s9","Mel Giedroyc","Actor"
"s9","Sue Perkins","Actor"
"s9","Mary Berry","Actor"
"s9","Paul Hollywood","Actor"
"s9","Andy Devonshire","Director"
"s10","Melissa McCarthy","Actor"
"s10","Chris O'Dowd","Actor"
"s10","Kevin Kline","Actor"
"s10","Timothy Olyphant","Actor"
"s10","Theodore Melfi","Director"
"s12","Sukollawat Kanarot","Actor"
"s12","Sushar Manaying","Actor"
"s12","Pavarit Mongkolpisit","Actor"
"s12","Sahajak Boonthanakit","Actor"
"s12","Kongkiat Komesiri","Director"
"s13","Luna Wedler","Actor"
"s13","Jannis Niewöhner","Actor"
"s13","Milan Peschel","Actor"
"s13","Edin Hasanović","Actor"
"s13","Christian Schwochow","Director"
"s14","Klara Castanho","Actor"
"s14","Lucca Picon","Actor"
"s14","Júlia Gomes","Actor"
"s14","Marcus Bessa","Actor"
"s14","Bruno Garotti","Director"
"s16","Logan Browning","Actor"
"s16","Brandon P. Bell","Actor"
"s16","DeRon Horton","Actor"
"s16","Antoinette Robertson","Actor"
"s17","Pedro de Echave García","Director"
"s17","Pablo Azorín Williams","Director"
"s18","Luis Ernesto Franco","Actor"
"s18","Camila Sodi","Actor"
"s18","Sergio Goyri","Actor"
"s18","Samadhi Zendejas","Actor"
"s19","Freida Pinto","Actor"
"s19","Logan Marshall-Green","Actor"
"s19","Robert John Burke","Actor"
"s19","Megan Elisabeth Kelly","Actor"
"s19","Adam Salky","Director"
"s20","Blanca Suárez","Actor"
"s20","Iván Marcos","Actor"
"s20","Óscar Casas","Actor"
"s20","Adrián Lastra","Actor"
"s21","Olivier Megaton","Director"
"s22","Engin Altan Düzyatan","Actor"
"s22","Serdar Gökhan","Actor"
"s22","Hülya Darcan","Actor"
"s22","Kaan Taşaner","Actor"
"s23","Kamal Hassan","Actor"
"s23","Meena","Actor"
"s23","Gemini Ganesan","Actor"
"s23","Heera Rajgopal","Actor"
"s23","K.S. Ravikumar","Director"
"s24","Maisie Benson","Actor"
"s24","Paul Killam","Actor"
"s24","Kerry Gudjohnsen","Actor"
"s24","AC Lim","Actor"
"s24","Alex Woo","Director"
"s24","Stanley Moore","Director"
"s25","Prashanth","Actor"
"s25","Aishwarya Rai Bachchan","Actor"
"s25","Sri Lakshmi","Actor"
"s25","Nassar","Actor"
"s25","S. Shankar","Director"
"s26","Brooke Satchwell","Actor"
"s27","Arvind Swamy","Actor"
"s27","Kajol","Actor"
"s27","Prabhu Deva","Actor"
"s27","Nassar","Actor"
"s27","Rajiv Menon","Director"
"s28","Adam Sandler","Actor"
"s28","Kevin James","Actor"
"s28","Chris Rock","Actor"
"s28","David Spade","Actor"
"s28","Dennis Dugan","Director"
"s29","Keri Russell","Actor"
"s29","Josh Hamilton","Actor"
"s29","J.K. Simmons","Actor"
"s29","Dakota Goyo","Actor"
"s29","Scott Stewart","Director"
"s30","Liam Hemsworth","Actor"
"s30","Gary Oldman","Actor"
"s30","Amber Heard","Actor"
"s30","Harrison Ford","Actor"
"s30","Robert Luketic","Director"
"s31","Abhishek Banerjee","Actor"
"s31","Rinku Rajguru","Actor"
"s31","Delzad Hiwale","Actor"
"s31","Kunal Kapoor","Actor"
"s31","Ashwiny Iyer Tiwari","Director"
"s31","Abhishek Chaubey","Director"
"s31","Saket Chaudhary","Director"
"s32","Lauren Ash","Actor"
"s32","Rory O'Malley","Actor"
"s32","RuPaul Charles","Actor"
"s32","Jill Talley","Actor"
"s33","Asa Butterfield","Actor"
"s33","Gillian Anderson","Actor"
"s33","Ncuti Gatwa","Actor"
"s33","Emma Mackey","Actor"
"s34","Lee Jung-jae","Actor"
"s34","Park Hae-soo","Actor"
"s34","Wi Ha-jun","Actor"
"s34","Oh Young-soo","Actor"
"s35","Dami Lee","Actor"
"s35","Jason Lee","Actor"
"s35","Bommie Catherine Han","Actor"
"s35","Jennifer Waescher","Actor"
"s36","Adrian Titieni","Actor"
"s36","Elena Purea","Actor"
"s36","Judith State","Actor"
"s36","Valeriu Andriuță","Actor"
"s36","Daniel Sandu","Director"
"s37","Gilles Lellouche","Actor"
"s37","Karim Leklou","Actor"
"s37","François Civil","Actor"
"s37","Adèle Exarchopoulos","Actor"
"s37","Cédric Jimenez","Director"
"s38","Antti Pääkkönen","Actor"
"s38","Heljä Heikkinen","Actor"
"s38","Lynne Guaglione","Actor"
"s38","Pasi Ruohonen","Actor"
"s39","Billy Magnussen","Actor"
"s39","Ron Yuan","Actor"
"s39","Qu Jingjing","Actor"
"s39","Terry Chen","Actor"
"s39","George Nolfi","Director"
"s40","Vatsal Dubey","Actor"
"s40","Julie Tejwani","Actor"
"s40","Rupa Bhimani","Actor"
"s40","Jigna Bhardwaj","Actor"
"s41","Yuri Lowenthal","Actor"
"s41","Kimberly Brooks","Actor"
"s41","Antony Del Rio","Actor"
"s41","Trevor Devall","Actor"
"s42","Roy Scheider","Actor"
"s42","Robert Shaw","Actor"
"s42","Richard Dreyfuss","Actor"
"s42","Lorraine Gary","Actor"
"s42","Steven Spielberg","Director"
"s43","Roy Scheider","Actor"
"s43","Lorraine Gary","Actor"
"s43","Murray Hamilton","Actor"
"s43","Joseph Mascolo","Actor"
"s43","Jeannot Szwarc","Director"
"s44","Dennis Quaid","Actor"
"s44","Bess Armstrong","Actor"
"s44","Simon MacCorkindale","Actor"
"s44","Louis Gossett Jr.","Actor"
"s44","Joe Alves","Director"
"s45","Lorraine Gary","Actor"
"s45","Lance Guest","Actor"
"s45","Mario Van Peebles","Actor"
"s45","Karen Young","Actor"
"s45","Joseph Sargent","Director"
"s46","Tyler Greco","Director"
"s47","Denzel Washington","Actor"
"s47","Ryan Reynolds","Actor"
"s47","Vera Farmiga","Actor"
"s47","Brendan Gleeson","Actor"
"s47","Daniel Espinosa","Director"
"s48","Osas Ighodaro","Actor"
"s48","Ini Dima-Okojie","Actor"
"s48","Kemi Lala Akindoju","Actor"
"s48","Toni Tones","Actor"
"s48","Bunmi Ajakaiye","Director"
"s49","Denzel Washington","Actor"
"s49","Ethan Hawke","Actor"
"s49","Scott Glenn","Actor"
"s49","Tom Berenger","Actor"
"s49","Antoine Fuqua","Director"
"s50","Richard Mofe-Damijo","Actor"
"s50","Dakore Akande","Actor"
"s50","Bimbo Manuel","Actor"
"s50","Blossom Chukwujekwu","Actor"
"s51","Kashmira Irani","Actor"
"s51","Chandan Anand","Actor"
"s51","Dinesh Mehta","Actor"
"s51","Ankit Arora","Actor"
"s52","Kappei Yamaguchi","Actor"
"s52","Satsuki Yukino","Actor"
"s52","Mieko Harada","Actor"
"s52","Koji Tsujitani","Actor"
"s52","Toshiya Shinohara","Director"
"s53","Kappei Yamaguchi","Actor"
"s53","Satsuki Yukino","Actor"
"s53","Koji Tsujitani","Actor"
"s53","Houko Kuwashima","Actor"
"s53","Toshiya Shinohara","Director"
"s54","Kappei Yamaguchi","Actor"
"s54","Satsuki Yukino","Actor"
"s54","Koji Tsujitani","Actor"
"s54","Houko Kuwashima","Actor"
"s54","Toshiya Shinohara","Director"
"s55","Kappei Yamaguchi","Actor"
"s55","Satsuki Yukino","Actor"
"s55","Koji Tsujitani","Actor"
"s55","Houko Kuwashima","Actor"
"s55","Toshiya Shinohara","Director"
"s56","Nicole Byer","Actor"
"s56","Jacques Torres","Actor"
"s57","Junko Takeuchi","Actor"
"s57","Chie Nakamura","Actor"
"s57","Rikiya Koyama","Actor"
"s57","Kazuhiko Inoue","Actor"
